"","EtOH1","EtOH2","EtOH3","TAM1","TAM2","TAM3"
"ENSMUSG00000026070",4.52449275406073,4.77949281487923,4.5421627156547,4.77818800164478,5.10720071365097,5.23739158060274
"ENSMUSG00000026068",5.30629065909813,6.32674785047435,5.04109451798477,5.63963075596214,9.41057828278244,6.79396433406904
"ENSMUSG00000091993",6.08225125028492,5.74725552142499,6.14528512430715,6.07678163450206,6.42378960513938,5.91491778762298
"ENSMUSG00000060244",7.07829429887724,6.26147266964964,6.95115941528594,7.10981514137256,7.08623118619388,6.54137104526338
"ENSMUSG00000025903",9.73898202459557,8.64796965143695,9.49965714597549,9.47944255746363,9.63554141234255,9.14709557818223
"ENSMUSG00000103270",4.72687328330185,4.56227785852408,5.04109451798477,4.70044235151808,4.54576322830658,4.95321966295651
"ENSMUSG00000041945",7.65959379678057,7.23744467023517,7.71807544380499,7.27219342744057,6.76588321113026,6.74702779123358
"ENSMUSG00000026393",12.0896083606853,12.0150256790574,11.9927878251016,12.3964338105342,12.3835858255932,11.9804930666752
"ENSMUSG00000102448",4.87996051168635,4.68058167073231,4.97798225008735,5.41380514115893,4.3950129704729,4.83256415831522
"ENSMUSG00000079588",4.63466228005446,4.40678677262258,4.65614249629888,4.50554350660449,4.84043194981961,5.00735020163909
"ENSMUSG00000033813",9.88920294914151,9.75223174271352,9.80540936075989,9.27796765838772,9.38096944675799,8.88068835615964
"ENSMUSG00000103280",5.21663765452124,4.9434503635141,4.8348683072271,5.63963075596214,6.38620968940958,5.55211235826018
"ENSMUSG00000026193",20.16237032295,20.2794999145181,19.3047014067677,20.0690424588282,20.4775265002703,20.0098669498726
"ENSMUSG00000073652",5.11789904641836,5.78030262913257,5.20744115553431,5.377401643555,5.2651912518188,5.05824464126509
"ENSMUSG00000002459",6.05998754637945,6.28359094456231,6.21125802916667,6.59504782208548,8.3914574555403,7.075005845279
"ENSMUSG00000045515",4.37985722618506,4.40678677262258,4.39244683912818,5.377401643555,5.16281709484073,4.83256415831522
"ENSMUSG00000099707",4.52449275406073,4.40678677262258,4.65614249629888,5.17316407412076,5.93601720201796,5.10636829945353
"ENSMUSG00000101211",5.50150921408718,4.77949281487923,5.25699093726072,6.01377929920787,7.21730835197171,6.34777298108432
"ENSMUSG00000101848",4.72687328330185,5.07950517148644,4.8348683072271,4.77818800164478,5.98880854644494,5.19567976058824
"ENSMUSG00000059483",5.11789904641836,4.9434503635141,4.8348683072271,4.70044235151808,4.66051805745012,4.95321966295651
"ENSMUSG00000019230",5.91753652019566,6.6295708709084,6.12252851924523,7.83451788281686,7.49136846543142,6.83935859524528
"ENSMUSG00000102123",4.02772916284837,4.86592890070577,4.39244683912818,4.77818800164478,5.10720071365097,4.49638656014834
"ENSMUSG00000039395",7.51192443749378,9.90323246184537,6.56662854122339,7.33061093823442,7.91864260562823,7.67920635118674
"ENSMUSG00000118839",4.63466228005446,5.07950517148644,4.5421627156547,4.36636332637254,4.75650864121367,5.15208365944375
"ENSMUSG00000079283",7.93316314942401,8.48393065181286,7.91982770351047,7.83451788281686,8.20605403915462,7.59039262470198
"ENSMUSG00000026315",7.88008108302874,8.7691834360756,9.40910932826324,8.43090497224148,7.67639948677018,8.15582910700132
"ENSMUSG00000060679",10.3035333364496,10.2584385703959,10.1575677559156,10.4307143613463,10.162694339625,10.1036200315584
"ENSMUSG00000026189",8.85693102360502,8.65610584462397,8.706089370671,8.84249941446721,8.4231446429138,8.36839067878184
"ENSMUSG00000026187",10.3657241544326,9.88087293622539,10.5523616093865,9.64645330567255,9.5944615121244,9.99240599473104
"ENSMUSG00000039372",4.37985722618506,4.9434503635141,4.02772916284837,4.77818800164478,5.44335573866263,5.457095830696
"ENSMUSG00000085812",5.06429687379399,4.68058167073231,5.04109451798477,4.36636332637254,5.16281709484073,4.60047344120348
"ENSMUSG00000033793",11.1370543087741,11.4865125775862,10.9004662154865,11.9379082655967,12.1129321226777,11.5796845870206
"ENSMUSG00000070939",11.1488916688622,10.1803182843718,11.0122957859321,11.3174820080144,10.7992000625038,11.0407016839479
"ENSMUSG00000041878",5.57078224596247,4.9434503635141,5.62127605398443,6.01377929920787,5.31267456915289,5.74722489376852
"ENSMUSG00000010290",10.1320671342187,9.95683781433974,10.0898023331024,10.2446173014729,9.72526203484612,10.2068677591922
"ENSMUSG00000008136",13.281892904486,11.7829744179109,12.1434173234495,13.0690255486095,12.6816958555456,12.7550943365533
"ENSMUSG00000056268",9.28077609138361,9.31501551045626,9.21910950236685,9.49216461519238,9.11925404219875,9.13376779225334
"ENSMUSG00000066877",10.5943541067962,9.95189612359049,9.96674716890024,10.9989787880241,10.3611338637294,10.6504708911876
"ENSMUSG00000103945",6.05998754637945,6.14491906182265,5.81199842357727,6.7017105715328,5.85239439673315,6.21297042014127
"ENSMUSG00000104436",4.52449275406073,5.01417981050233,4.39244683912818,4.77818800164478,4.3950129704729,4.60047344120348
"ENSMUSG00000026051",9.23237558947981,9.08447268674197,7.44847209244853,9.19811619556447,9.94658153725464,9.99731741483819
"ENSMUSG00000102243",4.63466228005446,4.86592890070577,5.15522774888403,4.70044235151808,4.54576322830658,4.6876602569947
"ENSMUSG00000039354",9.56197373883493,9.54686476928272,9.55097194644935,9.88283842792015,9.12476268457652,9.43294393245542
"ENSMUSG00000025907",12.132912049501,11.6570922155655,11.6431421812813,12.7898069650327,12.6856579508923,12.2627999228644
"ENSMUSG00000033964",11.0802745610755,10.5344313991913,10.8216221312878,11.3301845325994,11.1258638516913,10.9836965559216
