occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
1263775,occ,,,160742,Miomastodon sp.,genus,43275,subjective synonym of,Zygolophodon,genus,95509,Barstovian,,15.97,13.6,33296,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,-119.306114,35.267776,US,California,Kern,based on nearby landmark,seconds,basin,Kern County,gplates,130,mid,-111.9,38.39,scotese,130,mid,-114.11,35.15,seton,176,mid,-115.86,36.01
1264829,occ,,,168016,Mammuthus sp.,genus,43266,,Mammuthus,genus,43266,Pleistocene,,2.588,0.0117,55016,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-121.818001,36.916,US,California,Santa Cruz,based on nearby landmark,3,outcrop,Quarry on nearby Buena Vista Drive where the county landfill is today.,gplates,105,mid,-121.41,37.11,scotese,105,mid,-121.51,36.86,seton,105,mid,-120.96,36.5
1265903,occ,,,75481,Deinotherium giganteum,species,90204,,Deinotherium giganteum,species,90204,MN 9,,11.1,9.7,55045,Chordata,Mammalia,Proboscidea,Deinotheriidae,Deinotherium,20.637501,48.393055,HU,Borsod-Abaúj-Zemplén,Edelény,based on nearby landmark,seconds,outcrop,"The Rudabánya locality is situated at the transition from the Inner Western Carpathians (represented by the Rudabánya Hills) to the Pannonian Basin. The fossils were collected in iron ore open pits and mines (the younger and larger ones named Andrassy I, Andrassy II, Andrassy III and Vilmos; see map in fig. 2 of Nemeth et al., 2013, Carp. J. Earth Envir. Sci. 8(1):47-58) from the soft Cenozoic cover of the diagenetically limonitized and sideritized target rocks which are mainly Triassic in age.\r\ncoordinate is for abandoned Andrassy II and Vilmos mines about 3 km NE of village of Rudabánya",gplates,308,mid,22.13,45.73,scotese,308,mid,20.4,48.02,seton,336,mid,18.32,47.96
1265904,occ,,,75481,Tetralophodon longirostris,species,90209,,Tetralophodon longirostris,species,90208,MN 9,,11.1,9.7,55045,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Tetralophodon,20.637501,48.393055,HU,Borsod-Abaúj-Zemplén,Edelény,based on nearby landmark,seconds,outcrop,"The Rudabánya locality is situated at the transition from the Inner Western Carpathians (represented by the Rudabánya Hills) to the Pannonian Basin. The fossils were collected in iron ore open pits and mines (the younger and larger ones named Andrassy I, Andrassy II, Andrassy III and Vilmos; see map in fig. 2 of Nemeth et al., 2013, Carp. J. Earth Envir. Sci. 8(1):47-58) from the soft Cenozoic cover of the diagenetically limonitized and sideritized target rocks which are mainly Triassic in age.\r\ncoordinate is for abandoned Andrassy II and Vilmos mines about 3 km NE of village of Rudabánya",gplates,308,mid,22.13,45.73,scotese,308,mid,20.4,48.02,seton,336,mid,18.32,47.96
1265905,occ,,,75481,Tetralophodon cf. longirostris,species,90209,,Tetralophodon longirostris,species,90208,MN 9,,11.1,9.7,55045,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Tetralophodon,20.637501,48.393055,HU,Borsod-Abaúj-Zemplén,Edelény,based on nearby landmark,seconds,outcrop,"The Rudabánya locality is situated at the transition from the Inner Western Carpathians (represented by the Rudabánya Hills) to the Pannonian Basin. The fossils were collected in iron ore open pits and mines (the younger and larger ones named Andrassy I, Andrassy II, Andrassy III and Vilmos; see map in fig. 2 of Nemeth et al., 2013, Carp. J. Earth Envir. Sci. 8(1):47-58) from the soft Cenozoic cover of the diagenetically limonitized and sideritized target rocks which are mainly Triassic in age.\r\ncoordinate is for abandoned Andrassy II and Vilmos mines about 3 km NE of village of Rudabánya",gplates,308,mid,22.13,45.73,scotese,308,mid,20.4,48.02,seton,336,mid,18.32,47.96
1265906,occ,,,75481,Stegotetrabelodon gigantorostris,species,43259,species not entered,Stegotetrabelodon,genus,43259,MN 9,,11.1,9.7,55045,Chordata,Mammalia,Proboscidea,Elephantidae,Stegotetrabelodon,20.637501,48.393055,HU,Borsod-Abaúj-Zemplén,Edelény,based on nearby landmark,seconds,outcrop,"The Rudabánya locality is situated at the transition from the Inner Western Carpathians (represented by the Rudabánya Hills) to the Pannonian Basin. The fossils were collected in iron ore open pits and mines (the younger and larger ones named Andrassy I, Andrassy II, Andrassy III and Vilmos; see map in fig. 2 of Nemeth et al., 2013, Carp. J. Earth Envir. Sci. 8(1):47-58) from the soft Cenozoic cover of the diagenetically limonitized and sideritized target rocks which are mainly Triassic in age.\r\ncoordinate is for abandoned Andrassy II and Vilmos mines about 3 km NE of village of Rudabánya",gplates,308,mid,22.13,45.73,scotese,308,mid,20.4,48.02,seton,336,mid,18.32,47.96
1276231,occ,,,169385,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Late Pleistocene,,0.126,0.0117,55350,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,-162.130005,66.654999,US,Alaska,,estimated from map,3,outcrop,"Coastal bluffs of the Baldwin Peninsula, 35 km southeast of Kotzebue and about 10 km north of the Arctic Circle.",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
1281568,occ,,,170185,cf. Serbelodon sp.,genus,43257,,Serbelodon,genus,43257,Barstovian,Hemphillian,15.97,4.9,55527,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Serbelodon,-99.839516,35.774616,US,Oklahoma,Roger Mills,estimated from map,6,,"""This site is on Black Kettle National Grassland, U.S. Forest Ser- vice, about 24 km (15 mi.) NW of Cheyenne, Oklahoma. It is not to be confused with another site called Spring Creek gravel pit (OMNH local- ity V529) in Beckham County (adjacent south of Roger Mills County) described in Czaplewski and Smith (2004).""",gplates,101,mid,-95.97,38.05,scotese,101,mid,-97.72,36.15,seton,101,mid,-97.56,35.65
1281605,occ,,,170197,Amebelodon sp.,genus,43241,,Amebelodon,genus,43241,Hemphillian,,10.3,4.9,55527,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Amebelodon,-99.651924,35.755917,US,Oklahoma,Roger Mills,estimated from map,6,,,gplates,101,mid,-96.58,37.59,scotese,101,mid,-97.96,36.06,seton,101,mid,-97.83,35.66
1304446,occ,,,174577,Gomphotherium sp.,genus,43247,,Gomphotherium,genus,43247,Barstovian,,15.97,13.6,56984,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,-99.267799,43.4939,US,South Dakota,Charles Mix,stated in text,4,outcrop,"SDSM V2006-1, McConnell Trenholm (MT) Site, is located in the SW, SW, SE quarter of Section 16, T. 100 N., R. 71 W., Lucas NW 7.5 Minute Quadrangle, Charles Mix County, South Dakota.",gplates,101,mid,-92.38,46.66,scotese,101,mid,-95.95,44.05,seton,101,mid,-95.19,43.42
