"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000026042",172331.867803575,0.2426342357313,0.297890911421696,0.119195704272606,0.525419296630877,"Col5a2"
"ENSMUSG00000104476",141.653890817832,-0.0391432553750706,0.212453708960072,0.757960611373754,0.955799064773427,"ENSMUSG00000104476"
"ENSMUSG00000073643",4641.66569535551,-0.0141264321712016,0.206458790236117,0.909441608179998,0.983530105204933,"Wdfy1"
"ENSMUSG00000026248",404.02300517573,-0.0221636955439875,0.181527933861064,0.865060143570048,0.976064391579182,"Mrpl44"
"ENSMUSG00000026249",721.627115409526,0.0758210142924171,0.279520388658484,0.0164075568155071,0.182293071285958,"Serpine2"
"ENSMUSG00000042751",609.167930199011,1.21274414689199,0.279663899172804,8.98453450039283e-07,0.000127100300275786,"Nmnat2"
"ENSMUSG00000026491",3635.94641370369,0.103925179703796,0.18704684256653,0.441775319510192,0.841848865929344,"Ahctf1"
"ENSMUSG00000025917",2807.50677620135,0.117459766521345,0.187662574730795,0.395553832382402,0.817137412068802,"Cops5"
"ENSMUSG00000104418",6.61909301548812,-0.0597791899146213,0.259944150774026,0.451914807402266,0.846204426672608,"ENSMUSG00000104418"
"ENSMUSG00000026479",442.861078206693,0.149073611266577,0.282565801206227,0.210190478149856,0.668877550172605,"Lamc2"
"ENSMUSG00000004364",4174.25103250922,0.187228544547537,0.198431346113533,0.192820841344808,0.646767891597576,"Cul3"
"ENSMUSG00000103076",34.9142553787403,-0.192254563601429,0.340902635874949,0.0717929231516592,0.41127247352289,"ENSMUSG00000103076"
"ENSMUSG00000026478",36692.8378050683,-0.182756174056629,0.246213632607011,0.222428659208256,0.683023680604376,"Lamc1"
"ENSMUSG00000103818",17.1500786223849,-0.0419038753881855,0.24965650896064,0.64414122263473,0.923748999259184,"ENSMUSG00000103818"
"ENSMUSG00000079138",4.76150329075043,-0.0356716683554875,0.260165251680778,0.55326438384031,0.892721443678249,"ENSMUSG00000079138"
"ENSMUSG00000042708",3.9711764180622,0.160307163921992,0.33143531048044,0.0247664410204733,0.234049813866094,"Shcbp1l"
"ENSMUSG00000041144",8.36072317004409,0.0315844809501474,0.258757192182567,0.61840252266599,0.917365062918787,"Dnah7b"
"ENSMUSG00000042699",6809.94365907021,0.0894509846331691,0.215204224432552,0.507193079633213,0.874220423756175,"Dhx9"
"ENSMUSG00000101262",4.53347034738097,0.0283327714735537,0.257126118031992,0.671024021704537,0.933409160959886,"Gm8326"
"ENSMUSG00000042684",123.510473552564,0.264890645247223,0.298880224543347,0.100763175792944,0.487302498380701,"Npl"
"ENSMUSG00000025986",747.254267117596,0.0113262145086029,0.248557012004659,0.899709438025387,0.982634697982751,"Slc39a10"
"ENSMUSG00000100213",30.7810454959369,0.227946497535155,0.373424591730497,0.0601419318154039,0.372804051796244,"ENSMUSG00000100213"
"ENSMUSG00000100033",3.93113646143782,-0.097165885846562,0.282143995890841,0.133376547379313,0.553247423127618,"Gm8337"
"ENSMUSG00000096973",10.0502573682172,-0.017524473342591,0.256237171273408,0.784121577665486,0.960697820580664,"Gm5974"
"ENSMUSG00000097883",5.11875939256861,-0.0665509372722922,0.269671621341843,0.251006537134278,0.714686775116712,"Gm8357"
"ENSMUSG00000056763",1180.45382267126,0.159998297108554,0.234456111041421,0.264010862049637,0.725159225656421,"Cspp1"
"ENSMUSG00000100816",7.85144075771176,0.0668322475353142,0.27132004254527,0.205357655845452,0.664053058476341,"Gm28321"
"ENSMUSG00000026109",24.4738735929324,0.327279554635678,0.582939674661773,0.0178692463164286,0.191861455814632,"Tmeff2"
"ENSMUSG00000026475",2017.97306368079,0.0304781398955166,0.264334544054875,NA,NA,"Rgs16"
"ENSMUSG00000045954",2473.36560252797,0.0247804053250334,0.235029578563128,0.825383026516732,0.969428612309179,"Cavin2"
"ENSMUSG00000066800",351.321570021648,-0.0953010422519515,0.243512797140769,0.432768225735226,0.836920613883851,"Rnasel"
